row_no,machine_id,status,reason,detail
344,4462,skipped,status_not_ready,status_not_ready
345,4430,skipped,status_not_ready,status_not_ready
346,4457,skipped,status_not_ready,status_not_ready
347,4435,skipped,status_not_ready,status_not_ready
348,4438,skipped,status_not_ready,status_not_ready
349,4431,skipped,status_not_ready,status_not_ready
350,4427,skipped,status_not_ready,status_not_ready
351,4443,skipped,status_not_ready,status_not_ready
352,4436,skipped,status_not_ready,status_not_ready
353,4429,skipped,status_not_ready,status_not_ready
354,4448,skipped,status_not_ready,status_not_ready
355,4442,skipped,status_not_ready,status_not_ready
356,4421,skipped,status_not_ready,status_not_ready
357,4424,skipped,status_not_ready,status_not_ready
358,4432,skipped,status_not_ready,status_not_ready
359,4426,skipped,status_not_ready,status_not_ready
360,4411,skipped,status_not_ready,status_not_ready
361,4425,skipped,status_not_ready,status_not_ready
362,4416,skipped,status_not_ready,status_not_ready
363,4417,skipped,status_not_ready,status_not_ready
364,4413,skipped,status_not_ready,status_not_ready
365,4408,skipped,status_not_ready,status_not_ready
366,4439,skipped,status_not_ready,status_not_ready
367,4422,skipped,status_not_ready,status_not_ready
368,4418,skipped,status_not_ready,status_not_ready
369,4407,skipped,status_not_ready,status_not_ready
370,4399,skipped,status_not_ready,status_not_ready
371,4397,skipped,status_not_ready,status_not_ready
372,4412,skipped,status_not_ready,status_not_ready
373,4394,skipped,status_not_ready,status_not_ready
374,4396,skipped,status_not_ready,status_not_ready
375,4398,skipped,status_not_ready,status_not_ready
376,4415,skipped,status_not_ready,status_not_ready
377,4385,skipped,status_not_ready,status_not_ready
378,4389,skipped,status_not_ready,status_not_ready
379,4400,skipped,status_not_ready,status_not_ready
380,4384,skipped,status_not_ready,status_not_ready
381,4381,skipped,status_not_ready,status_not_ready
382,4388,skipped,status_not_ready,status_not_ready
383,4379,skipped,status_not_ready,status_not_ready
384,4392,skipped,status_not_ready,status_not_ready
385,4364,skipped,status_not_ready,status_not_ready
386,4380,skipped,status_not_ready,status_not_ready
387,4371,skipped,status_not_ready,status_not_ready
388,4359,skipped,status_not_ready,status_not_ready
389,4363,skipped,status_not_ready,status_not_ready
390,4373,skipped,status_not_ready,status_not_ready
